"Abbrv","Name","dest_id"
"AFG","Afghanistan","asafg"
"AGO","Angola","afago"
"ALB","Albania","eualb"
"AND","Andorra","euand"
"ARE","United Arab Emirates","asare"
"ARG","Argentina","saarg"
"ARM","Armenia","asarm"
"AUS","Australia","ocaus"
"AUT","Austria","euaut"
"BGR","Bulgaria","eubgr"
"BIH","Bosnia and Herzegovina","eubih"
"BLX","Belgium-Luxembourg","eublx"
"BOL","Bolivia","sabol"
"BRA","Brazil","sabra"
"CAN","Canada","nacan"
"CHE","Switzerland","euche"
"CHL","Chile","sachl"
"CHN","China","aschn"
"CIV","Cote d'Ivoire","afciv"
"COL","Colombia","sacol"
"CPV","Cape Verde","afcpv"
"CUB","Cuba","nacub"
"CYP","Cyprus","ascyp"
"CZE","Czech Republic","eucze"
"DEU","Germany","eudeu"
"DNK","Denmark","eudnk"
"DOM","Dominican Republic","nadom"
"DZA","Algeria","afdza"
"ECU","Ecuador","saecu"
"EGY","Egypt","afegy"
"EST","Estonia","euest"
"FIN","Finland","eufin"
"FRA","France","eufra"
"GBR","United Kingdom","eugbr"
"GEO","Georgia","asgeo"
"GHA","Ghana","afgha"
"GIB","Gibraltar","eugib"
"GNB","Guinea-Bissau","afgnb"
"GNQ","Equatorial Guinea","afgnq"
"GRC","Greece","eugrc"
"GTM","Guatemala","nagtm"
"HKG","Hong Kong","ashkg"
"HND","Honduras","nahnd"
"HRV","Croatia","euhrv"
"HUN","Hungary","euhun"
"IDN","Indonesia","asidn"
"IND","India","asind"
"IRL","Ireland","euirl"
"IRN","Iran","asirn"
"IRQ","Iraq","asirq"
"ISL","Iceland","euisl"
"ISR","Israel","asisr"
"ITA","Italy","euita"
"JOR","Jordan","asjor"
"JPN","Japan","asjpn"
"KAZ","Kazakhstan","askaz"
"KHM","Cambodia","askhm"
"KWT","Kuwait","askwt"
"LAO","Laos","aslao"
"LBN","Lebanon","aslbn"
"LBY","Libya","aflby"
"LTU","Lithuania","eultu"
"LVA","Latvia","eulva"
"MAR","Morocco","afmar"
"MDA","Moldova","eumda"
"MEX","Mexico","namex"
"MKD","Macedonia","eumkd"
"MLT","Malta","eumlt"
"MMR","Burma","asmmr"
"MNE","Montenegro","eumne"
"MRT","Mauritania","afmrt"
"MUS","Mauritius","afmus"
"MYS","Malaysia","asmys"
"NCL","New Caledonia","ocncl"
"NIC","Nicaragua","nanic"
"NLD","Netherlands","eunld"
"NOR","Norway","eunor"
"NZL","New Zealand","ocnzl"
"OMN","Oman","asomn"
"PAK","Pakistan","aspak"
"PAN","Panama","napan"
"PER","Peru","saper"
"PHL","Philippines","asphl"
"POL","Poland","eupol"
"PRT","Portugal","euprt"
"PRY","Paraguay","sapry"
"ROU","Romania","eurou"
"RUS","Russia","eurus"
"SAU","Saudi Arabia","assau"
"SDN","Sudan","afsdn"
"SEN","Senegal","afsen"
"SGP","Singapore","assgp"
"SRB","Serbia","eusrb"
"SVK","Slovakia","eusvk"
"SVN","Slovenia","eusvn"
"SWE","Sweden","euswe"
"SYR","Syria","assyr"
"TGO","Togo","aftgo"
"THA","Thailand","astha"
"TUN","Tunisia","aftun"
"TUR","Turkey","astur"
"UKR","Ukraine","euukr"
"URY","Uruguay","saury"
"USA","United States","nausa"
"VNM","Vietnam","asvnm"
"ZAF","South Africa","afzaf"
"ESP","España","euesp"
